temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5104, 4105, -742, 732, 4896, 387, 3960, 613
5200, 4168, -663, 581, 4944, 253, 4003, 460
5200, 4210, -578, 450, 4896, 161, 4066, 363
5200, 4265, -454, 383, 4880, 51, 4127, 284
5200, 4276, -368, 243, 5008, -3, 4052, 134
5184, 4107, -251, 155, 4944, -110, 3916, 37
5200, 3891, -330, 137, 4928, -83, 3659, 34
5136, 3760, -309, 131, 4928, -47, 3569, 34
5168, 3621, -378, 149, 4992, -6, 3451, 69
5184, 3564, -492, 254, 4928, 165, 3343, 172
5184, 3494, -598, 326, 4960, 210, 3314, 228
5168, 3698, -570, 379, 4944, 176, 3512, 284
5168, 3868, -531, 385, 4960, 125, 3723, 290
5168, 4015, -429, 360, 4992, 50, 3826, 280
5200, 4080, -330, 467, 4960, -63, 3920, 420
5232, 4095, -295, 503, 4944, -67, 3903, 397
5200, 3995, -469, 314, 4928, 112, 3764, 203
5168, 3871, -595, 210, 4928, 206, 3675, 114
5232, 3848, -597, 108, 4880, 209, 3669, 38
5168, 3992, -573, 110, 4896, 178, 3794, 12
5104, 4143, -501, 124, 4928, 82, 4038, 46
5200, 4422, -378, 151, 5104, 10, 4294, 56
5168, 4611, -362, 151, 4960, -49, 4458, 54
5168, 4767, -283, 226, 4960, -105, 4610, 138
5168, 4883, -187, 161, 5008, -205, 4716, 72
5168, 4900, -65, 67, 4928, -364, 4743, -26
5200, 4841, 88, 4, 4928, -475, 4641, -81
5232, 4787, 269, -40, 4944, -639, 4563, -161
5232, 4806, 324, -101, 4992, -736, 4641, -178
5136, 5036, 531, 31, 4928, -931, 4988, -53
5200, 5347, 680, 164, 5008, -1101, 5180, 67
5168, 5586, 706, 140, 4896, -1081, 5471, 20
5136, 5947, 656, 1, 4960, -1024, 5819, -84
5136, 6443, 698, -1, 4928, -1074, 6367, -89
5232, 6929, 749, -6, 4992, -1172, 6858, -107
5184, 7316, 772, -59, 4944, -1148, 7234, -179
5136, 7662, 778, -161, 4960, -1146, 7497, -293
5232, 7746, 711, -208, 4896, -1044, 7578, -276
5232, 7539, 511, -117, 4960, -848, 7314, -172
5184, 7140, 273, -22, 4928, -605, 6869, -124
5168, 6718, 79, -75, 4928, -472, 6502, -166
5184, 6546, 126, -106, 4960, -502, 6300, -214
5200, 6514, 287, -150, 5024, -650, 6377, -281
5200, 6688, 496, -205, 4960, -901, 6549, -283
5168, 7030, 821, -228, 4880, -1296, 6917, -306
5184, 7416, 1106, -212, 4928, -1546, 7271, -271
5136, 7649, 1271, -48, 4928, -1588, 7455, -145
